edge_type:  EUC_2D
 Dimension: 100000 
Original Loss is:  991779712.000000 
Ending Temp: 0.000012 
 Loss | Temp | Iter | Time 
 26607690.000000 | 69644.000000 | 242 | 1078.000000
 26672462.000000 | 69539.531250 | 243 | 1082.000000
 26662372.000000 | 69435.218750 | 244 | 1087.000000
 26518582.000000 | 69331.062500 | 245 | 1091.000000
 26333596.000000 | 69227.062500 | 246 | 1096.000000
 26320134.000000 | 69123.218750 | 247 | 1100.000000
 26300438.000000 | 69019.531250 | 248 | 1105.000000
 26463130.000000 | 68916.000000 | 249 | 1109.000000
 26535676.000000 | 68812.625000 | 250 | 1113.000000
 26485916.000000 | 68709.406250 | 251 | 1118.000000
 26537992.000000 | 68606.343750 | 252 | 1122.000000
 26201752.000000 | 68503.429688 | 253 | 1127.000000
 26355834.000000 | 68400.671875 | 254 | 1131.000000
 26378862.000000 | 68298.070312 | 255 | 1136.000000
 26228172.000000 | 68195.625000 | 256 | 1140.000000
 26771238.000000 | 68093.328125 | 257 | 1145.000000
 26479480.000000 | 67991.187500 | 258 | 1149.000000
 26520252.000000 | 67889.203125 | 259 | 1153.000000
 26341552.000000 | 67787.367188 | 260 | 1158.000000
 26305732.000000 | 67685.687500 | 261 | 1162.000000
 26195792.000000 | 67584.156250 | 262 | 1167.000000
 26173480.000000 | 67482.781250 | 263 | 1171.000000
 26244030.000000 | 67381.554688 | 264 | 1176.000000
 26320180.000000 | 67280.484375 | 265 | 1180.000000
 26223332.000000 | 67179.562500 | 266 | 1185.000000
 26201176.000000 | 67078.789062 | 267 | 1189.000000
 26353464.000000 | 66978.171875 | 268 | 1194.000000
 26702658.000000 | 66877.703125 | 269 | 1198.000000
 26256702.000000 | 66777.382812 | 270 | 1202.000000
 26362426.000000 | 66677.218750 | 271 | 1207.000000
 26390090.000000 | 66577.203125 | 272 | 1211.000000
 26546008.000000 | 66477.335938 | 273 | 1216.000000
 26243454.000000 | 66377.617188 | 274 | 1220.000000
 26126398.000000 | 66278.046875 | 275 | 1225.000000
 26337546.000000 | 66178.632812 | 276 | 1229.000000
 26123918.000000 | 66079.367188 | 277 | 1234.000000
 26291304.000000 | 65980.250000 | 278 | 1238.000000
 26296788.000000 | 65881.281250 | 279 | 1243.000000
 26154956.000000 | 65782.460938 | 280 | 1247.000000
 25990116.000000 | 65683.789062 | 281 | 1251.000000
 25810688.000000 | 65585.265625 | 282 | 1256.000000
 25779890.000000 | 65486.886719 | 283 | 1260.000000
 26000168.000000 | 65388.656250 | 284 | 1265.000000
 26130368.000000 | 65290.574219 | 285 | 1269.000000
 26202238.000000 | 65192.636719 | 286 | 1274.000000
 26150384.000000 | 65094.847656 | 287 | 1278.000000
 26116022.000000 | 64997.203125 | 288 | 1283.000000
 25957088.000000 | 64899.707031 | 289 | 1287.000000
 25911964.000000 | 64802.355469 | 290 | 1291.000000
 26031178.000000 | 64705.152344 | 291 | 1296.000000
 25734030.000000 | 64608.093750 | 292 | 1300.000000
 25820984.000000 | 64511.179688 | 293 | 1305.000000
 25643810.000000 | 64414.414062 | 294 | 1309.000000
 25574278.000000 | 64317.792969 | 295 | 1314.000000
 25734922.000000 | 64221.316406 | 296 | 1318.000000
 25512550.000000 | 64124.984375 | 297 | 1323.000000
 25722384.000000 | 64028.796875 | 298 | 1327.000000
 25842318.000000 | 63932.753906 | 299 | 1331.000000
 25766698.000000 | 63836.855469 | 300 | 1336.000000
 25868410.000000 | 63741.097656 | 301 | 1340.000000
 25940646.000000 | 63645.484375 | 302 | 1345.000000
 26122850.000000 | 63550.015625 | 303 | 1349.000000
 25683838.000000 | 63454.691406 | 304 | 1354.000000
 25935944.000000 | 63359.507812 | 305 | 1358.000000
 25905916.000000 | 63264.468750 | 306 | 1363.000000
 26097792.000000 | 63169.570312 | 307 | 1367.000000
 26190742.000000 | 63074.816406 | 308 | 1372.000000
 26058918.000000 | 62980.203125 | 309 | 1376.000000
 25966974.000000 | 62885.730469 | 310 | 1380.000000
 26037704.000000 | 62791.402344 | 311 | 1385.000000
 26314026.000000 | 62697.214844 | 312 | 1389.000000
 26356946.000000 | 62603.167969 | 313 | 1394.000000
 26207482.000000 | 62509.261719 | 314 | 1398.000000
 26162748.000000 | 62415.496094 | 315 | 1403.000000
 26233832.000000 | 62321.871094 | 316 | 1407.000000
 26169052.000000 | 62228.386719 | 317 | 1412.000000
 26024002.000000 | 62135.042969 | 318 | 1416.000000
 26274630.000000 | 62041.839844 | 319 | 1420.000000
 26140582.000000 | 61948.777344 | 320 | 1425.000000
 26055514.000000 | 61855.855469 | 321 | 1429.000000
 25563182.000000 | 61763.070312 | 322 | 1434.000000
 25717642.000000 | 61670.425781 | 323 | 1438.000000
 26010712.000000 | 61577.917969 | 324 | 1443.000000
 26005354.000000 | 61485.550781 | 325 | 1447.000000
 25940958.000000 | 61393.320312 | 326 | 1452.000000
 25990478.000000 | 61301.230469 | 327 | 1456.000000
 26072216.000000 | 61209.277344 | 328 | 1460.000000
 26029002.000000 | 61117.460938 | 329 | 1465.000000
 25947532.000000 | 61025.785156 | 330 | 1469.000000
 25810724.000000 | 60934.246094 | 331 | 1474.000000
 25876322.000000 | 60842.843750 | 332 | 1478.000000
 25835638.000000 | 60751.578125 | 333 | 1483.000000
 26033458.000000 | 60660.449219 | 334 | 1487.000000
 25854070.000000 | 60569.457031 | 335 | 1492.000000
 26121664.000000 | 60478.601562 | 336 | 1496.000000
 26203696.000000 | 60387.882812 | 337 | 1501.000000
 26551192.000000 | 60297.300781 | 338 | 1505.000000
 26354136.000000 | 60206.855469 | 339 | 1509.000000
 26120806.000000 | 60116.542969 | 340 | 1514.000000
 26156558.000000 | 60026.367188 | 341 | 1518.000000
 26075510.000000 | 59936.328125 | 342 | 1523.000000
 26300828.000000 | 59846.421875 | 343 | 1527.000000
 26159994.000000 | 59756.652344 | 344 | 1532.000000
 26590026.000000 | 59667.015625 | 345 | 1536.000000
 26447348.000000 | 59577.515625 | 346 | 1541.000000
 26254084.000000 | 59488.148438 | 347 | 1545.000000
 26365334.000000 | 59398.914062 | 348 | 1549.000000
 25977066.000000 | 59309.816406 | 349 | 1554.000000
 25920326.000000 | 59220.851562 | 350 | 1558.000000
 25865454.000000 | 59132.019531 | 351 | 1563.000000
 25943092.000000 | 59043.320312 | 352 | 1567.000000
 25856526.000000 | 58954.753906 | 353 | 1572.000000
 25744682.000000 | 58866.320312 | 354 | 1576.000000
 25888142.000000 | 58778.019531 | 355 | 1581.000000
 25968704.000000 | 58689.851562 | 356 | 1585.000000
 25841876.000000 | 58601.816406 | 357 | 1589.000000
 25606604.000000 | 58513.914062 | 358 | 1594.000000
 25808096.000000 | 58426.140625 | 359 | 1598.000000
 25652060.000000 | 58338.500000 | 360 | 1603.000000
 25718286.000000 | 58250.992188 | 361 | 1607.000000
 25711060.000000 | 58163.613281 | 362 | 1612.000000
 25658034.000000 | 58076.367188 | 363 | 1616.000000
 25485150.000000 | 57989.253906 | 364 | 1620.000000
 25634262.000000 | 57902.269531 | 365 | 1625.000000
 25639302.000000 | 57815.414062 | 366 | 1629.000000
 25444146.000000 | 57728.691406 | 367 | 1634.000000
 25448608.000000 | 57642.097656 | 368 | 1638.000000
 25404820.000000 | 57555.632812 | 369 | 1643.000000
 25565472.000000 | 57469.296875 | 370 | 1647.000000
 25679916.000000 | 57383.093750 | 371 | 1652.000000
 25773914.000000 | 57297.019531 | 372 | 1656.000000
 25703042.000000 | 57211.074219 | 373 | 1660.000000
 25869520.000000 | 57125.257812 | 374 | 1665.000000
 25837702.000000 | 57039.570312 | 375 | 1669.000000
 26030670.000000 | 56954.011719 | 376 | 1674.000000
 25928992.000000 | 56868.582031 | 377 | 1678.000000
 25766542.000000 | 56783.277344 | 378 | 1683.000000
 26012872.000000 | 56698.101562 | 379 | 1687.000000
 26183264.000000 | 56613.054688 | 380 | 1692.000000
 26202396.000000 | 56528.132812 | 381 | 1696.000000
 26210600.000000 | 56443.339844 | 382 | 1700.000000
 26104162.000000 | 56358.675781 | 383 | 1705.000000
 26180482.000000 | 56274.136719 | 384 | 1709.000000
 26241714.000000 | 56189.726562 | 385 | 1714.000000
 26174404.000000 | 56105.441406 | 386 | 1718.000000
 26293988.000000 | 56021.281250 | 387 | 1723.000000
 26359658.000000 | 55937.250000 | 388 | 1727.000000
 26282284.000000 | 55853.343750 | 389 | 1731.000000
 26165596.000000 | 55769.562500 | 390 | 1736.000000
 26154736.000000 | 55685.906250 | 391 | 1740.000000
 26188812.000000 | 55602.375000 | 392 | 1745.000000
 26098114.000000 | 55518.972656 | 393 | 1749.000000
 26087412.000000 | 55435.695312 | 394 | 1754.000000
 26171816.000000 | 55352.542969 | 395 | 1758.000000
 26204286.000000 | 55269.511719 | 396 | 1763.000000
 26021330.000000 | 55186.605469 | 397 | 1767.000000
 26240192.000000 | 55103.824219 | 398 | 1771.000000
 26262310.000000 | 55021.167969 | 399 | 1776.000000
 26323102.000000 | 54938.636719 | 400 | 1780.000000
 26120286.000000 | 54856.226562 | 401 | 1785.000000
 25792326.000000 | 54773.941406 | 402 | 1789.000000
 25853428.000000 | 54691.781250 | 403 | 1794.000000
 25790138.000000 | 54609.742188 | 404 | 1798.000000
 26042318.000000 | 54527.828125 | 405 | 1802.000000
 26080426.000000 | 54446.035156 | 406 | 1807.000000
 25957830.000000 | 54364.367188 | 407 | 1811.000000
 25906454.000000 | 54282.820312 | 408 | 1816.000000
 26034474.000000 | 54201.394531 | 409 | 1820.000000
 26130834.000000 | 54120.093750 | 410 | 1825.000000
 26191910.000000 | 54038.914062 | 411 | 1829.000000
 26280346.000000 | 53957.855469 | 412 | 1834.000000
 26158852.000000 | 53876.917969 | 413 | 1838.000000
 26403126.000000 | 53796.101562 | 414 | 1842.000000
 26285640.000000 | 53715.406250 | 415 | 1847.000000
 26134596.000000 | 53634.832031 | 416 | 1851.000000
 26041274.000000 | 53554.378906 | 417 | 1856.000000
 26067668.000000 | 53474.046875 | 418 | 1860.000000
 26085078.000000 | 53393.835938 | 419 | 1865.000000
 25974996.000000 | 53313.746094 | 420 | 1869.000000
 26247520.000000 | 53233.773438 | 421 | 1873.000000
 26051324.000000 | 53153.921875 | 422 | 1878.000000
 26331372.000000 | 53074.191406 | 423 | 1882.000000
 26404894.000000 | 52994.578125 | 424 | 1887.000000
 26124140.000000 | 52915.085938 | 425 | 1891.000000
